InvoiceSectionName,AccountName,AccountOwnerId,SubscriptionId,SubscriptionName,ResourceGroup,ResourceLocation,Date,ProductName,MeterName,MeterId,MeterCategory,MeterSubCategory,MeterRegion,UnitOfMeasure,Quantity,EffectivePrice,CostInBillingCurrency,CostCenter,ConsumedService,ResourceId,ResourceName,ReservationId,ReservationName,UnitPrice,ProductOrderId,ProductOrderName,ChargeType,Frequency,PricingModel,BillingAccountId,BillingAccountName,BillingCurrencyCode,BillingPeriodStartDate,BillingPeriodEndDate,ServiceFamily,Tags
Empresa XYZ,Contoso Ltd,admin@contoso.com,xxxxxxxx-1111-xxxx-xxxx-xxxxxxxxxxxx,Prod-Subscription,rg-producao,brazilsouth,2026-02-01,Virtual Machines DSv3 Series,D2s v3,0002bbfe-ae3c-4173-ab49-1b68de1eb0f8,Virtual Machines,D2s v3,BR South,1 Hour,744,0.11600,86.30,IT,Microsoft.Compute,/subscriptions/xxxx/resourceGroups/rg-producao/providers/Microsoft.Compute/virtualMachines/vm-app-01,vm-app-01,,,0.11600,,,Usage,Recurring,OnDemand,ba-001,Contoso Ltd,USD,2026-02-01,2026-02-28,Compute,{}
Empresa XYZ,Contoso Ltd,admin@contoso.com,xxxxxxxx-1111-xxxx-xxxx-xxxxxxxxxxxx,Prod-Subscription,rg-producao,brazilsouth,2026-02-01,Virtual Machines DSv3 Series,D4s v3,17386534-3e82-4f1f-9f0c-3f8a9b2c21a7,Virtual Machines,D4s v3,BR South,1 Hour,744,0.23200,172.61,IT,Microsoft.Compute,/subscriptions/xxxx/resourceGroups/rg-producao/providers/Microsoft.Compute/virtualMachines/vm-db-01,vm-db-01,,,0.23200,,,Usage,Recurring,OnDemand,ba-001,Contoso Ltd,USD,2026-02-01,2026-02-28,Compute,{}
Empresa XYZ,Contoso Ltd,admin@contoso.com,xxxxxxxx-1111-xxxx-xxxx-xxxxxxxxxxxx,Prod-Subscription,rg-storage,brazilsouth,2026-02-01,Blob Storage,LRS Data Stored,a6039a8b-7bbd-4f64-aab0-4f1e5e9b5b7d,Storage,Blob,BR South,1 GB/Month,1024,0.01800,18.43,IT,Microsoft.Storage,/subscriptions/xxxx/resourceGroups/rg-storage/providers/Microsoft.Storage/storageAccounts/stgcontosodata,stgcontosodata,,,0.01800,,,Usage,Recurring,OnDemand,ba-001,Contoso Ltd,USD,2026-02-01,2026-02-28,Storage,{}
Empresa XYZ,Contoso Ltd,admin@contoso.com,xxxxxxxx-1111-xxxx-xxxx-xxxxxxxxxxxx,Prod-Subscription,rg-storage,brazilsouth,2026-02-01,Blob Storage,Write Operations,b7823db4-ea3a-47ff-bb47-3c9b2e50faa2,Storage,Blob,BR South,10K/Month,850,0.00050,0.43,IT,Microsoft.Storage,/subscriptions/xxxx/resourceGroups/rg-storage/providers/Microsoft.Storage/storageAccounts/stgcontosodata,stgcontosodata,,,0.00050,,,Usage,Recurring,OnDemand,ba-001,Contoso Ltd,USD,2026-02-01,2026-02-28,Storage,{}
Empresa XYZ,Contoso Ltd,admin@contoso.com,xxxxxxxx-1111-xxxx-xxxx-xxxxxxxxxxxx,Prod-Subscription,rg-banco,brazilsouth,2026-02-01,Azure SQL Database,S2,c89f1234-12de-4f8e-b231-000000000005,SQL,Single Database,BR South,DTU-Hour,744,0.15000,111.60,IT,Microsoft.Sql,/subscriptions/xxxx/resourceGroups/rg-banco/providers/Microsoft.Sql/servers/sql-contoso/databases/db-app,db-app,,,0.15000,,,Usage,Recurring,OnDemand,ba-001,Contoso Ltd,USD,2026-02-01,2026-02-28,Databases,{}
Empresa XYZ,Contoso Ltd,admin@contoso.com,xxxxxxxx-1111-xxxx-xxxx-xxxxxxxxxxxx,Prod-Subscription,rg-webapp,brazilsouth,2026-02-01,Azure App Service,Linux B2,d45b2345-ab3f-4c9a-8765-000000000006,App Service,B2,BR South,1 Hour,744,0.08000,59.52,IT,Microsoft.Web,/subscriptions/xxxx/resourceGroups/rg-webapp/providers/Microsoft.Web/serverfarms/asp-contoso-prod,asp-contoso-prod,,,0.08000,,,Usage,Recurring,OnDemand,ba-001,Contoso Ltd,USD,2026-02-01,2026-02-28,Compute,{}
Empresa XYZ,Contoso Ltd,admin@contoso.com,xxxxxxxx-1111-xxxx-xxxx-xxxxxxxxxxxx,Prod-Subscription,rg-webapp,brazilsouth,2026-02-01,Azure Functions,Execution,e56c3456-bc4e-5d8b-9876-000000000007,Functions,Executions,Global,1M Executions,12.5,0.20000,2.50,IT,Microsoft.Web,/subscriptions/xxxx/resourceGroups/rg-webapp/providers/Microsoft.Web/sites/func-contoso-api,func-contoso-api,,,0.20000,,,Usage,Recurring,OnDemand,ba-001,Contoso Ltd,USD,2026-02-01,2026-02-28,Compute,{}
Empresa XYZ,Contoso Ltd,admin@contoso.com,xxxxxxxx-1111-xxxx-xxxx-xxxxxxxxxxxx,Prod-Subscription,rg-rede,brazilsouth,2026-02-01,Bandwidth,Data Transfer Out,f67d4567-cd5f-6e9c-a987-000000000008,Bandwidth,Data Transfer,Global,1 GB,350,0.08000,28.00,IT,Microsoft.Network,/subscriptions/xxxx/resourceGroups/rg-rede/providers/Microsoft.Network/virtualNetworks/vnet-contoso,vnet-contoso,,,0.08000,,,Usage,Recurring,OnDemand,ba-001,Contoso Ltd,USD,2026-02-01,2026-02-28,Networking,{}
Empresa XYZ,Contoso Ltd,admin@contoso.com,xxxxxxxx-1111-xxxx-xxxx-xxxxxxxxxxxx,Prod-Subscription,rg-seguranca,brazilsouth,2026-02-01,Azure Key Vault,Secret Operations,g78e5678-de60-7fab-b098-000000000009,Key Vault,Operations,Global,10K Operations,45,0.00300,0.14,IT,Microsoft.KeyVault,/subscriptions/xxxx/resourceGroups/rg-seguranca/providers/Microsoft.KeyVault/vaults/kv-contoso-prod,kv-contoso-prod,,,0.00300,,,Usage,Recurring,OnDemand,ba-001,Contoso Ltd,USD,2026-02-01,2026-02-28,Security,{}
Empresa XYZ,Contoso Ltd,admin@contoso.com,xxxxxxxx-1111-xxxx-xxxx-xxxxxxxxxxxx,Prod-Subscription,rg-monitoramento,brazilsouth,2026-02-01,Azure Monitor,Log Analytics Data Ingestion,h89f6789-ef71-80bc-c109-000000000010,Azure Monitor,Log Analytics,Global,1 GB,32.7,0.25000,8.18,IT,Microsoft.OperationalInsights,/subscriptions/xxxx/resourceGroups/rg-monitoramento/providers/Microsoft.OperationalInsights/workspaces/log-contoso-prod,log-contoso-prod,,,0.25000,,,Usage,Recurring,OnDemand,ba-001,Contoso Ltd,USD,2026-02-01,2026-02-28,Management and Governance,{}
