"Resource Name","Resource Type","Resource Group",Location,Subscription
nic-dev-001,Microsoft.Network/networkInterfaces,rg-aks,southindia,Subscription-Shared
rsv-dr-002,Microsoft.RecoveryServices/vaults,rg-production,japaneast,Subscription-Prod
mi-dev-003,Microsoft.ManagedIdentity/userAssignedIdentities,rg-dev,southeastasia,Subscription-Shared
hdi-dev-004,Microsoft.HDInsight/clusters,rg-staging,uksouth,Subscription-Staging
conn-shrd-005,Microsoft.Web/connections,rg-dr,eastus2,Subscription-Dev
vmss-shrd-006,Microsoft.Compute/virtualMachineScaleSets,rg-database,eastasia,Subscription-Staging
iothub-dr-007,Microsoft.Devices/IotHubs,rg-production,westeurope,Subscription-Shared
kv-prod-008,Microsoft.KeyVault/vaults,rg-infra,japaneast,Subscription-Staging
logic-stg-009,Microsoft.Logic/workflows,rg-storage,eastus2,Subscription-Shared
role-stg-010,Microsoft.Authorization/roleAssignments,rg-network,westus3,Subscription-DR
lb-dev-011,Microsoft.Network/loadBalancers,rg-integration,australiaeast,Subscription-Shared
law-dr-012,Microsoft.OperationalInsights/workspaces,rg-staging,japaneast,Subscription-DR
avset-prod-013,Microsoft.Compute/availabilitySets,rg-backup,westus,Subscription-Prod
cog-dev-014,Microsoft.CognitiveServices/accounts,rg-network,australiaeast,Subscription-Dev
dbr-dr-015,Microsoft.Databricks/workspaces,rg-integration,southindia,Subscription-DR
nsg-dev-016,Microsoft.Network/networkSecurityGroups,rg-network,eastus2,Subscription-DR
vm-stg-017,Microsoft.Compute/virtualMachines,rg-cache,westus,Subscription-DR
pe-dr-018,Microsoft.Network/privateEndpoints,rg-integration,eastus,Subscription-Prod
cog-dev-019,Microsoft.CognitiveServices/accounts,rg-aks,westus2,Subscription-Shared
batch-shrd-020,Microsoft.Batch/batchAccounts,rg-database,westeurope,Subscription-Dev
sb-stg-021,Microsoft.ServiceBus/namespaces,rg-shared,eastasia,Subscription-Prod
actgrp-dr-022,Microsoft.Insights/actionGroups,rg-webapp,eastus2,Subscription-Prod
law-prod-023,Microsoft.OperationalInsights/workspaces,rg-dev,koreacentral,Subscription-Dev
pip-dr-024,Microsoft.Network/publicIPAddresses,rg-production,westeurope,Subscription-Dev
blob-prod-025,Microsoft.Storage/storageAccounts/blobServices,rg-dr,francecentral,Subscription-Dev
batch-dev-026,Microsoft.Batch/batchAccounts,rg-webapp,southeastasia,Subscription-Shared
aks-dev-027,Microsoft.ContainerService/managedClusters,rg-functions,japaneast,Subscription-Prod
aa-dev-028,Microsoft.Automation/automationAccounts,rg-dr,australiaeast,Subscription-Prod
sf-prod-029,Microsoft.ServiceFabric/clusters,rg-production,brazilsouth,Subscription-Shared
acr-stg-030,Microsoft.ContainerRegistry/registries,rg-backup,southeastasia,Subscription-DR
relay-stg-031,Microsoft.Relay/namespaces,rg-storage,eastus,Subscription-DR
cosmos-dr-032,Microsoft.DocumentDB/databaseAccounts,rg-containers,uksouth,Subscription-Prod
mariadb-dr-033,Microsoft.DBforMariaDB/servers,rg-production,uksouth,Subscription-Staging
mi-prod-034,Microsoft.ManagedIdentity/userAssignedIdentities,rg-infra,westus,Subscription-Staging
blob-stg-035,Microsoft.Storage/storageAccounts/blobServices,rg-security,northeurope,Subscription-Dev
dbr-stg-036,Microsoft.Databricks/workspaces,rg-storage,eastus,Subscription-DR
search-prod-037,Microsoft.Search/searchServices,rg-storage,eastasia,Subscription-Prod
appins-shrd-038,Microsoft.Insights/components,rg-webapp,eastus,Subscription-Dev
nic-stg-039,Microsoft.Network/networkInterfaces,rg-dev,canadacentral,Subscription-Prod
apim-shrd-040,Microsoft.ApiManagement/service,rg-shared,francecentral,Subscription-Dev
avset-shrd-041,Microsoft.Compute/availabilitySets,rg-infra,australiaeast,Subscription-DR
